"Pattern","Rotation","Offset X","Offset Y"
"^(.*?_|V)?QFN-(16|20|24|28|40)(-|_|$)","270","0.0","0.0"
"^1473149\-4","0","0.0","-0.65"
"^2N3904_2N3906_SOT\-23","180","0.0","0.0"
"^BatteryHolder_Keystone_1060_1x2032","180","0.0","0.0"
"^Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering","90","0.0","0.0"
"^CP_EIA-","180","0.0","0.0"
"^CP_Elec_10x10","180","0.0","0.0"
"^CP_Elec_5x5\.8","180","0.0","0.0"
"^CP_Elec_8x10","180","0.0","0.0"
"^CP_Elec_8x10.5","180","0.0","0.0"
"^CP_Elec_8x5.4","180","0.0","0.0"
"^CP_Elec_8x6.7","180","0.0","0.0"
"^DFN-","270","0.0","0.0"
"^Diodes_PowerDI3333-8","270","0.0","0.0"
"^Diodes_UDFN\-10_1\.0x2\.5mm_P0\.5mm_HandSolder","270","0.0","0.0"
"^ESP32-W","270","0.0","0.0"
"^HDMI_A_Molex_208658\-1001_Horizontal","90","0.0","0.0"
"^HTSSOP-","270","0.0","0.0"
"^HTSSOP-28-1EP_4.4x9.7mm*","270","0.0","0.0"
"^IDC\-Header_2x05_P2\.54mm_Vertical","270","0.0","0.0"
"^IDC\-Header_2x08_P2\.54mm_Vertical","270","0.0","0.0"
"^IDC\-Header_2x17_P2\.54mm_Vertical","270","0.0","0.0"
"^JST_GH_SM","180","0.0","0.0"
"^JST_PH_S","180","0.0","0.0"
"^LED_RGB_5050\-6","90","0.0","0.0"
"^LED_WS2812B","180","0.0","0.0"
"^LED_WS2812B-2020_PLCC4_2.0x2.0mm","90","0.0","0.0"
"^LQFP-","270","0.0","0.0"
"^MSOP\-10_3x3mm_P0\.5mm","270","0.0","0.0"
"^PLCC\-SR32","180","0.0","0.0"
"^PUIAudio_SMT_0825_S_4_R*","270","0.0","0.0"
"^PinHeader_1x02_P2\.54mm_Horizontal","90","0.0","0.0"
"^PinHeader_1x02_P2\.54mm_Vertical","270","0.0","0.0"
"^PinHeader_1x03_P2\.54mm_Horizontal","90","0.0","0.0"
"^PinHeader_1x03_P2\.54mm_Vertical","270","0.0","0.0"
"^PinHeader_1x04_P2\.54mm_Horizontal","90","0.0","0.0"
"^PinHeader_1x04_P2\.54mm_Vertical","270","0.0","0.0"
"^PinHeader_1x05_P2\.54mm_Vertical","270","0.0","0.0"
"^PinHeader_1x06_P2\.54mm_Vertical","270","0.0","0.0"
"^PinHeader_1x07_P2\.54mm_Vertical","270","0.0","0.0"
"^PinHeader_1x08_P2\.54mm_Horizontal","270","0.0","0.0"
"^PinHeader_2x02_P2\.54mm_Vertical","270","0.0","0.0"
"^PinHeader_2x03_P2\.54mm_Vertical","270","0.0","0.0"
"^PinHeader_2x05_P1\.27mm_Vertical","90","0.0","0.0"
"^PinHeader_2x05_P2\.54mm_Horizontal","90","0.0","0.0"
"^PinHeader_2x05_P2\.54mm_Vertical","270","0.0","0.0"
"^PinHeader_2x08_P2\.54mm_Horizontal","90","0.0","0.0"
"^PinHeader_2x08_P2\.54mm_Vertical","270","0.0","0.0"
"^PinHeader_2x13_P2\.54mm_Vertical","270","0.0","0.0"
"^PinSocket_1x02_P2\.54mm_Vertical","270","0.0","0.0"
"^PinSocket_1x04_P2\.54mm_Vertical","270","0.0","0.0"
"^PinSocket_2x08_P2\.54mm_Vertical","270","0.0","0.0"
"^PinSocket_2x13_P2\.54mm_Vertical","270","0.0","0.0"
"^PowerPAK_SO-8_Single","270","0.0","0.0"
"^QFN-","270","0.0","0.0"
"^Quectel_L80-R","270","0.0","0.0"
"^RP2040-QFN-56","270","0.0","0.0"
"^R_Array_Concave_","90","0.0","0.0"
"^R_Array_Convex_","90","0.0","0.0"
"^Relay_DPDT_Omron_G6K-2F-Y","270","0.0","0.0"
"^SC-74-6","180","0.0","0.0"
"^SOIC-","270","0.0","0.0"
"^SOIC127P798X216-8N","270","0.0","0.0"
"^SOP-(?!18_)","270","0.0","0.0"
"^SOP-18_","0","0.0","0.0"
"^SOP-4_","0","0.0","0.0"
"^SOT-143","180","0.0","0.0"
"^SOT-223$","180","0.0","0.0"
"^SOT-353","180","0.0","0.0"
"^SOT-363","180","0.0","0.0"
"^SOT-89","180","0.0","0.0"
"^SOT\-223\-3_TabPin2","270","0.0","0.0"
"^SOT\-23","180","0.0","0.0"
"^SOT\-23\-5","180","0.0","0.0"
"^SSOP-","270","0.0","0.0"
"^SW_DIP_SPSTx01_Slide_Copal_CHS-01B_W7.62mm_P1.27mm","180","0.0","0.0"
"^SW_SPST_B3","90","0.0","0.0"
"^TDSON-8-1","270","0.0","0.0"
"^TO-277","90","0.0","0.0"
"^TSOP-6","270","0.0","0.0"
"^TSOT-23","180","0.0","0.0"
"^TSSOP\-16_4\.4x5mm_P0\.65mm","270","0.0","0.0"
"^TSSOP\-48_6\.1x12\.5mm_P0\.5mm","270","0.0","0.0"
"^Transformer_Ethernet_Pulse_HX0068ANL","270","0.0","0.0"
"^UDFN-10","270","0.0","0.0"
"^USB_C_Receptacle_HRO_TYPE-C-31-M-12*","180","0.0","0.0"
"^USB_C_Receptacle_XKB_U262-16XN-4BVC11","180","0.0","0.0"
"^USON-10","270","0.0","0.0"
"^VSON-8_","270","0.0","0.0"
"^VSSOP-10_","270","0.0","0.0"
"^VSSOP-8_","180","0.0","0.0"
"^VSSOP-8_3.0x3.0mm_P0.65mm","270","0.0","0.0"
"^^WSON-8-1EP_6x5mm_P1.27mm","270","0.0","0.0"
